Major,Major_Group,Median
PETROLEUM ENGINEERING,Engineering,110000
MINING AND MINERAL ENGINEERING,Engineering,75000
METALLURGICAL ENGINEERING,Engineering,73000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,70000
CHEMICAL ENGINEERING,Engineering,65000
NUCLEAR ENGINEERING,Engineering,65000
ACTUARIAL SCIENCE,Business,62000
ASTRONOMY AND ASTROPHYSICS,Physical Sciences,62000
MECHANICAL ENGINEERING,Engineering,60000
ELECTRICAL ENGINEERING,Engineering,60000
COMPUTER ENGINEERING,Engineering,60000
AEROSPACE ENGINEERING,Engineering,60000
BIOMEDICAL ENGINEERING,Engineering,60000
MATERIALS SCIENCE,Engineering,60000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,58000
BIOLOGICAL ENGINEERING,Engineering,57100
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,57000
GENERAL ENGINEERING,Engineering,56000
ARCHITECTURAL ENGINEERING,Engineering,54000
COURT REPORTING,Law & Public Policy,54000
COMPUTER SCIENCE,Computers & Mathematics,53000
FOOD SCIENCE,Agriculture & Natural Resources,53000
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,52000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,52000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,51000
CIVIL ENGINEERING,Engineering,50000
CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,50000
OPERATIONS LOGISTICS AND E-COMMERCE,Business,50000
MISCELLANEOUS ENGINEERING,Engineering,50000
PUBLIC POLICY,Law & Public Policy,50000
ENVIRONMENTAL ENGINEERING,Engineering,50000
ENGINEERING TECHNOLOGIES,Engineering,50000
MISCELLANEOUS FINE ARTS,Arts,50000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,50000
NURSING,Health,48000
FINANCE,Business,47000
ECONOMICS,Social Science,47000
BUSINESS ECONOMICS,Business,46000
INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,46000
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,46000
ACCOUNTING,Business,45000
MATHEMATICS,Computers & Mathematics,45000
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,45000
PHYSICS,Physical Sciences,45000
MEDICAL TECHNOLOGIES TECHNICIANS,Health,45000
INFORMATION SCIENCES,Computers & Mathematics,45000
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,45000
APPLIED MATHEMATICS,Computers & Mathematics,45000
PHARMACOLOGY,Biology & Life Science,45000
OCEANOGRAPHY,Physical Sciences,44700
ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,44000
MEDICAL ASSISTING SERVICES,Health,42000
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,42000
COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,41300
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,41000
SCHOOL STUDENT COUNSELING,Education,41000
INTERNATIONAL RELATIONS,Social Science,40100
GENERAL BUSINESS,Business,40000
ARCHITECTURE,Engineering,40000
INTERNATIONAL BUSINESS,Business,40000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,40000
MOLECULAR BIOLOGY,Biology & Life Science,40000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,40000
AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,40000
GENERAL AGRICULTURE,Agriculture & Natural Resources,40000
MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,40000
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,40000
GENETICS,Biology & Life Science,40000
MISCELLANEOUS SOCIAL SCIENCES,Social Science,40000
UNITED STATES HISTORY,Humanities & Liberal Arts,40000
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,40000
AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,40000
PHYSICAL SCIENCES,Physical Sciences,40000
MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,40000
CHEMISTRY,Physical Sciences,39000
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,38400
BUSINESS MANAGEMENT AND ADMINISTRATION,Business,38000
MARKETING AND MARKETING RESEARCH,Business,38000
POLITICAL SCIENCE AND GOVERNMENT,Social Science,38000
GEOGRAPHY,Social Science,38000
MICROBIOLOGY,Biology & Life Science,38000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,37500
BIOCHEMICAL SCIENCES,Biology & Life Science,37400
BOTANY,Biology & Life Science,37000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,36400
GEOLOGY AND EARTH SCIENCE,Physical Sciences,36200
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,36000
PRE-LAW AND LEGAL STUDIES,Law & Public Policy,36000
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,36000
PUBLIC ADMINISTRATION,Law & Public Policy,36000
GEOSCIENCES,Physical Sciences,36000
SOCIAL PSYCHOLOGY,Psychology & Social Work,36000
ENVIRONMENTAL SCIENCE,Biology & Life Science,35600
COMMUNICATIONS,Communications & Journalism,35000
CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,35000
COMMERCIAL ART AND GRAPHIC DESIGN,Arts,35000
JOURNALISM,Communications & Journalism,35000
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,35000
ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,35000
AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,35000
SPECIAL NEEDS EDUCATION,Education,35000
PHYSIOLOGY,Biology & Life Science,35000
CRIMINOLOGY,Social Science,35000
NUTRITION SCIENCES,Health,35000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,35000
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,35000
TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,35000
NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,35000
NEUROSCIENCE,Biology & Life Science,35000
MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,35000
ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,35000
FORESTRY,Agriculture & Natural Resources,35000
SOIL SCIENCE,Agriculture & Natural Resources,35000
GENERAL EDUCATION,Education,34000
HISTORY,Humanities & Liberal Arts,34000
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,34000
INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,34000
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,34000
COMMUNITY AND PUBLIC HEALTH,Health,34000
MATHEMATICS TEACHER EDUCATION,Education,34000
EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,34000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,33500
MISCELLANEOUS BIOLOGY,Biology & Life Science,33500
BIOLOGY,Biology & Life Science,33400
SOCIOLOGY,Social Science,33000
MASS MEDIA,Communications & Journalism,33000
TREATMENT THERAPY PROFESSIONS,Health,33000
HOSPITALITY MANAGEMENT,Business,33000
LANGUAGE AND DRAMA EDUCATION,Education,33000
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,33000
MISCELLANEOUS EDUCATION,Education,33000
INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,33000
ECOLOGY,Biology & Life Science,33000
SECONDARY TEACHER EDUCATION,Education,32500
GENERAL MEDICAL AND HEALTH SERVICES,Health,32400
PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,32200
ART AND MUSIC EDUCATION,Education,32100
ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,32000
ELEMENTARY EDUCATION,Education,32000
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,32000
LIBERAL ARTS,Humanities & Liberal Arts,32000
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,32000
GENERAL SOCIAL SCIENCES,Social Science,32000
PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,32000
SCIENCE AND COMPUTER TEACHER EDUCATION,Education,32000
PSYCHOLOGY,Psychology & Social Work,31500
MUSIC,Arts,31000
PHYSICAL AND HEALTH EDUCATION TEACHING,Education,31000
ART HISTORY AND CRITICISM,Humanities & Liberal Arts,31000
FINE ARTS,Arts,30500
FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,30000
SOCIAL WORK,Psychology & Social Work,30000
ANIMAL SCIENCES,Agriculture & Natural Resources,30000
VISUAL AND PERFORMING ARTS,Arts,30000
TEACHER EDUCATION: MULTIPLE LEVELS,Education,30000
MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,30000
HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,30000
HUMANITIES,Humanities & Liberal Arts,30000
THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,29000
STUDIO ARTS,Arts,29000
COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,29000
MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,29000
ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,28000
COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,28000
EARLY CHILDHOOD EDUCATION,Education,28000
OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,27500
DRAMA AND THEATER ARTS,Arts,27000
COMPOSITION AND RHETORIC,Humanities & Liberal Arts,27000
ZOOLOGY,Biology & Life Science,26000
EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,25000
CLINICAL PSYCHOLOGY,Psychology & Social Work,25000
COUNSELING PSYCHOLOGY,Psychology & Social Work,23400
LIBRARY SCIENCE,Education,22000
